Classes,Commit to privacy,Declare opinion about privacy,Not applicable,Related to privacy,Violate privacy
Precision,0.5833333333333334,0.0,0.7916666666666666,0.36363636363636365,0.3333333333333333
Recall,0.5,0.0,0.5588235294117647,0.6153846153846154,0.5
F1 Score,0.5384615384615384,0.0,0.6551724137931034,0.4571428571428572,0.4
